arquivo;status;natureza;referencias;paginas_que_referenciam
PRESTA_Conf/img009.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld009.htm
PRESTA_Conf/img010.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld010.htm
PRESTA_Conf/img011.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld011.htm
PRESTA_Conf/img012.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld012.htm
PRESTA_Conf/img013.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld013.htm
PRESTA_Conf/img014.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld014.htm
PRESTA_Conf/img015.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld015.htm
PRESTA_Conf/img016.JPG;não recuperada;figura/conteúdo;1;PRESTA_Conf/sld016.htm
PRESTA_Conf/img017.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld017.htm
PRESTA_Conf/img018.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld018.htm
PRESTA_Conf/img019.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld019.htm
PRESTA_Conf/img020.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld020.htm
PRESTA_Conf/img021.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld021.htm
PRESTA_Conf/img022.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld022.htm
PRESTA_Conf/img023.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld023.htm
PRESTA_Conf/img024.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld024.htm
PRESTA_Conf/img025.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld025.htm
PRESTA_Conf/img026.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld026.htm
PRESTA_Conf/img027.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld027.htm
PRESTA_Conf/img028.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld028.htm
PRESTA_Conf/img029.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld029.htm
PRESTA_Conf/img030.JPG;não recuperada;figura/conteúdo;1;PRESTA_Conf/sld030.htm
PRESTA_Conf/img031.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld031.htm
PRESTA_Conf/img032.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld032.htm
PRESTA_Conf/img033.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld033.htm
PRESTA_Conf/img034.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld034.htm
PRESTA_Conf/img035.JPG;não recuperada;figura/conteúdo;1;PRESTA_Conf/sld035.htm
PRESTA_Conf/img036.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld036.htm
PRESTA_Conf/img037.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld037.htm
PRESTA_Conf/img038.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld038.htm
PRESTA_Conf/img039.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld039.htm
PRESTA_Conf/img040.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld040.htm
PRESTA_Conf/img041.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld041.htm
PRESTA_Conf/img042.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld042.htm
PRESTA_Conf/img043.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld043.htm
PRESTA_Conf/img044.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld044.htm
PRESTA_Conf/img045.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld045.htm
PRESTA_Conf/img046.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld046.htm
PRESTA_Conf/img047.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld047.htm
PRESTA_Conf/img048.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld048.htm
PRESTA_Conf/img049.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld049.htm
PRESTA_Conf/img050.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld050.htm
PRESTA_Conf/img051.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld051.htm
PRESTA_Conf/img052.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld052.htm
PRESTA_Conf/img053.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld053.htm
PRESTA_Conf/img054.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld054.htm
PRESTA_Conf/img055.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld055.htm
PRESTA_Conf/img056.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld056.htm
